date,open,high,low,close,volume
2024-03-28 09:30:00,523.2100219726562,523.72998046875,522.780029296875,523.1500244140625,11609627
2024-03-28 10:30:00,523.1500244140625,523.6300048828125,523.0399780273438,523.5700073242188,9722100
2024-03-28 11:30:00,523.5798950195312,523.72998046875,523.1400146484375,523.469970703125,8212053
2024-03-28 12:30:00,523.469970703125,523.489990234375,522.97998046875,523.125,5982187
2024-03-28 13:30:00,523.125,523.64501953125,522.9199829101562,523.52001953125,5771506
2024-03-28 14:30:00,523.5250244140625,524.5800170898438,523.02001953125,524.4580078125,10895026
2024-03-28 15:30:00,524.4600219726562,524.6099853515625,523.1099853515625,523.1300048828125,17300093
2024-04-01 09:30:00,523.8300170898438,524.3800048828125,522.8300170898438,522.989990234375,13071144
2024-04-01 10:30:00,522.9849853515625,523.0999755859375,521.3599853515625,522.0798950195312,10963506
2024-04-01 11:30:00,522.0700073242188,522.0850219726562,520.969970703125,521.989990234375,7822074
2024-04-01 12:30:00,522.0,522.2249755859375,521.0599975585938,521.6099853515625,3217247
2024-04-01 13:30:00,521.6199951171875,522.0499877929688,521.3800048828125,521.8712158203125,3052947
2024-04-01 14:30:00,521.8699951171875,522.3400268554688,521.6799926757812,521.8699951171875,6042284
2024-04-01 15:30:00,521.875,522.7999877929688,521.6099853515625,522.219970703125,8456323
2024-04-02 09:30:00,518.239990234375,518.4600219726562,516.47998046875,517.1699829101562,19043932
2024-04-02 10:30:00,517.1699829101562,517.8200073242188,516.7612915039062,517.6199951171875,6846221
2024-04-02 11:30:00,517.625,517.864990234375,516.9000244140625,517.4349975585938,5290152
2024-04-02 12:30:00,517.4400024414062,518.1199951171875,517.3049926757812,517.6699829101562,4827514
2024-04-02 13:30:00,517.6699829101562,518.1199951171875,517.3499755859375,517.905029296875,4771578
2024-04-02 14:30:00,517.9099731445312,518.5900268554688,517.6400146484375,518.4299926757812,7105354
2024-04-02 15:30:00,518.4400024414062,518.97998046875,518.280029296875,518.8499755859375,17125843
2024-04-03 09:30:00,517.719970703125,520.6300048828125,517.6649780273438,520.4000244140625,11059413
2024-04-03 10:30:00,520.4099731445312,520.9500122070312,520.1701049804688,520.8099975585938,4844443
2024-04-03 11:30:00,520.8300170898438,520.9299926757812,519.719970703125,520.64501953125,6161995
2024-04-03 12:30:00,520.6400146484375,520.844970703125,519.3900146484375,520.6199951171875,4986100
2024-04-03 13:30:00,520.6300048828125,520.7999877929688,520.1500244140625,520.2050170898438,4312993
2024-04-03 14:30:00,520.1900024414062,520.4249877929688,517.77001953125,518.530029296875,7908604
2024-04-03 15:30:00,518.5499877929688,519.77001953125,518.280029296875,519.3599853515625,13945506
2024-04-04 09:30:00,523.52001953125,523.7000122070312,522.469970703125,522.9199829101562,11413170
2024-04-04 10:30:00,522.9199829101562,522.9650268554688,522.3599853515625,522.75,4852069
2024-04-04 11:30:00,522.77001953125,523.8673706054688,522.6799926757812,523.5101928710938,6787789
2024-04-04 12:30:00,523.52001953125,523.6199951171875,523.155029296875,523.1699829101562,2992311
2024-04-04 13:30:00,523.1699829101562,523.1900024414062,517.8400268554688,518.010009765625,15571954
2024-04-04 14:30:00,518.0,518.0,513.6599731445312,513.6900024414062,26018879
2024-04-04 15:30:00,513.7100219726562,514.3800048828125,512.7550048828125,513.0499877929688,21560435
2024-04-05 09:30:00,514.4600219726562,516.4299926757812,514.010009765625,515.4400024414062,15647950
2024-04-05 10:30:00,515.4600219726562,518.09130859375,515.1900024414062,517.8499755859375,9802491
2024-04-05 11:30:00,517.7899780273438,520.010009765625,517.5700073242188,519.614990234375,9537269
2024-04-05 12:30:00,519.6099853515625,520.4400024414062,518.7100219726562,519.260009765625,7529052
2024-04-05 13:30:00,519.260009765625,519.594970703125,516.969970703125,517.7899780273438,8633612
2024-04-05 14:30:00,517.7999877929688,518.7100219726562,517.239990234375,518.1500244140625,7405801
2024-04-05 15:30:00,518.114990234375,519.2949829101562,518.114990234375,518.4000244140625,8843497
2024-04-08 09:30:00,519.1500244140625,519.5800170898438,517.97998046875,519.5369873046875,8554787
2024-04-08 10:30:00,519.530029296875,520.1799926757812,519.3300170898438,519.5250244140625,5495562
2024-04-08 11:30:00,519.5,519.510009765625,517.8900146484375,518.5601196289062,5820638
2024-04-08 12:30:00,518.5599975585938,519.4600219726562,518.4600219726562,519.2750244140625,3957040
2024-04-08 13:30:00,519.280029296875,519.47998046875,518.6500244140625,519.1799926757812,4529588
2024-04-08 14:30:00,519.1799926757812,519.3499755859375,518.669921875,519.2550048828125,3901029
2024-04-08 15:30:00,519.25,519.7000122070312,518.22998046875,518.6699829101562,10639646
2024-04-09 09:30:00,520.5,520.75,517.4102783203125,517.5900268554688,10151387
2024-04-09 10:30:00,517.5900268554688,517.6300048828125,514.3499755859375,515.9500122070312,13026925
2024-04-09 11:30:00,515.9600219726562,517.6400146484375,515.6699829101562,517.260009765625,5874826
