symbol,name,market,sector_l1,category_l2,data_asof,source
281740.KQ,레이크머티리얼즈,KOSDAQ,화학,chemical,2026-02-19,pykrx
290650.KQ,엘앤씨바이오,KOSDAQ,제약,biotech_pharma,2026-02-19,pykrx
293490.KQ,카카오게임즈,KOSDAQ,IT 서비스,gaming,2026-02-19,pykrx
298380.KQ,에이비엘바이오,KOSDAQ,제약,biotech_pharma,2026-02-19,pykrx
310210.KQ,보로노이,KOSDAQ,일반서비스,services,2026-02-19,pykrx
319400.KQ,현대무벡스,KOSDAQ,기계·장비,machinery,2026-02-19,pykrx
319660.KQ,피에스케이,KOSDAQ,기계·장비,machinery,2026-02-19,pykrx
323280.KQ,태성,KOSDAQ,기계·장비,machinery,2026-02-19,pykrx
328130.KQ,루닛,KOSDAQ,IT 서비스,internet_platform,2026-02-19,pykrx
347700.KQ,스피어,KOSDAQ,IT 서비스,internet_platform,2026-02-19,pykrx
347850.KQ,디앤디파마텍,KOSDAQ,일반서비스,services,2026-02-19,pykrx
348370.KQ,엔켐,KOSDAQ,화학,chemical,2026-02-19,pykrx
357780.KQ,솔브레인,KOSDAQ,화학,chemical,2026-02-19,pykrx
388210.KQ,씨엠티엑스,KOSDAQ,전기·전자,semiconductor_electronics,2026-02-19,pykrx
388720.KQ,유일로보틱스,KOSDAQ,기계·장비,machinery,2026-02-19,pykrx
397030.KQ,에이프릴바이오,KOSDAQ,일반서비스,biotech_pharma,2026-02-19,pykrx
403870.KQ,HPSP,KOSDAQ,기계·장비,machinery,2026-02-19,pykrx
437730.KQ,삼현,KOSDAQ,운송장비·부품,automobile,2026-02-19,pykrx
440110.KQ,파두,KOSDAQ,전기·전자,semiconductor_electronics,2026-02-19,pykrx
445680.KQ,큐리옥스바이오시스템즈,KOSDAQ,의료·정밀기기,biotech_pharma,2026-02-19,pykrx
456160.KQ,지투지바이오,KOSDAQ,제약,biotech_pharma,2026-02-19,pykrx
458870.KQ,씨어스테크놀로지,KOSDAQ,의료·정밀기기,healthcare_device,2026-02-19,pykrx
466100.KQ,클로봇,KOSDAQ,IT 서비스,internet_platform,2026-02-19,pykrx
475830.KQ,오름테라퓨틱,KOSDAQ,제약,biotech_pharma,2026-02-19,pykrx
476830.KQ,알지노믹스,KOSDAQ,일반서비스,services,2026-02-19,pykrx
491000.KQ,리브스메드,KOSDAQ,의료·정밀기기,healthcare_device,2026-02-19,pykrx
950160.KQ,코오롱티슈진,KOSDAQ,제약,biotech_pharma,2026-02-19,pykrx
