symbol
AAPL
ABNB
ADBE
ADI
ADP
ADSK
AEP
ALNY
AMAT
AMD
AMGN
AMZN
APP
ARM
ASML
AVGO
AXON
BKNG
BKR
CCEP
CDNS
CEG
CHTR
CMCSA
COST
CPRT
CRWD
CSCO
CSGP
CSX
CTAS
CTSH
DASH
DDOG
DXCM
EA
EXC
FANG
FAST
FER
FTNT
GEHC
GILD
GOOG
GOOGL
HON
IDXX
INSM
INTC
INTU
ISRG
KDP
KHC
KLAC
LIN
LRCX
MAR
MCHP
MDLZ
MELI
META
MNST
MPWR
MRVL
MSFT
MSTR
MU
NFLX
NVDA
NXPI
ODFL
ORLY
PANW
PAYX
PCAR
PDD
PEP
PLTR
PYPL
QCOM
REGN
ROP
ROST
SBUX
SHOP
SNPS
STX
TEAM
TMUS
TRI
TSLA
TTWO
TXN
VRSK
VRTX
WBD
WDAY
WDC
WMT
XEL
ZS
