Symbol
AAPL
ABBV
ABT
ACN
AMZN
ASML
AVGO
AZN
BABA
BAC
BMY
BRK-A
COP
COST
CRM
CSCO
CVX
DHR
DIS
GOOGL
HD
JNJ
JPM
KO
LLY
MA
MCD
META
MRK
MSFT
NEE
NVDA
NVO
NVS
ORCL
PEP
PFE
PG
TM
TMO
TMUS
TSLA
TSM
UNH
UPS
V
VZ
WFC
WMT
XOM
Summ
