Symbol
BTC
ETH
BNB
ADA
DOT
XRP
UNI
LTC
LINK
THETA
USDC
BCH
XLM
LUNA
WBTC
DOGE
VET
CRO
FIL
AAVE
TRX
MIOTA
ATOM
SOL
EOS
AVAX
XMR
BSV
KSM
FTT
XTZ
XEM
BTT
ALGO
NEO
CHZ
DAI
HT
HBAR
EGLD
SUSHI
SNX
DASH
TFUEL
LEO
GRT
DCR
MKR
ZIL
COMP
MATIC
NEAR
ENJ
RVN
BAT
NPXS
ZEC
CAKE
ONE
MANA
NEXO
UMA
ETC
BNT
CHSB
RUNE
YFI
HOT
RSR
ICX
CEL
ZRX
WAVES
FTM
REN
SC
REV
VGX
ONT
DGB
DENT
OKB
IOST
OMG
PAX
CELO
1INCH
NANO
NANO
QTUM
LRC
OCEAN
CRV
KNC
ZEN
MVL
BTG
LSK
XVG
