import time: self [us] | cumulative | imported package
import time:       357 |        357 |                                   asyncio.streams
import time:       244 |        244 |                                   asyncio.subprocess
import time:       210 |        210 |                                   asyncio.taskgroups
import time:       150 |        150 |                                   asyncio.threads
import time:       203 |        203 |                                     asyncio.base_subprocess
import time:       419 |        419 |                                     asyncio.selector_events
import time:       788 |       1409 |                                   asyncio.unix_events
import time:       390 |      18255 |                                 asyncio
import time:        34 |      18288 |                               asyncio.coroutines
import time:      6640 |      25985 |                             pydantic_core.core_schema
import time:       490 |      28879 |                           pydantic_core
import time:       104 |      28983 |                         pydantic.version
import time:       241 |      29224 |                       pydantic.warnings
import time:       313 |      29536 |                     pydantic._migration
import time:        97 |         97 |                         typing_inspection
import time:       962 |        962 |                         typing_inspection.typing_objects
import time:       761 |       1820 |                       typing_inspection.introspection
import time:       111 |        111 |                       pydantic._internal
import time:       275 |        275 |                           pydantic._internal._namespace_utils
import time:       343 |        617 |                         pydantic._internal._typing_extra
import time:       214 |        831 |                       pydantic._internal._repr
import time:       346 |       3105 |                     pydantic.errors
import time:       227 |      32867 |                   pydantic
import time:       170 |        170 |                       pydantic._internal._internal_dataclass
import time:       845 |       1015 |                     pydantic.aliases
import time:       721 |        721 |                     pydantic.config
import time:       260 |       1994 |                   pydantic._internal._config
import time:       206 |        206 |                     pydantic._internal._core_utils
import time:       120 |        120 |                       pydantic._internal._import_utils
import time:       825 |        945 |                     pydantic._internal._utils
import time:      2618 |       3767 |                   pydantic._internal._decorators
import time:       367 |        367 |                       pydantic._internal._forward_ref
import time:       336 |        702 |                     pydantic._internal._generics
import time:       117 |        117 |                     pydantic._internal._docs_extraction
import time:       379 |       1198 |                   pydantic._internal._fields
import time:       349 |        349 |                       pydantic.plugin
import time:       232 |        580 |                     pydantic.plugin._schema_validator
import time:       249 |        829 |                   pydantic._internal._mock_val_ser
import time:      1932 |       1932 |                       fractions
import time:        65 |         65 |                           _wmi
import time:       412 |        477 |                         platform
import time:        64 |         64 |                         _uuid
import time:       408 |        947 |                       uuid
import time:       301 |        301 |                           sysconfig
import time:       557 |        557 |                           _sysconfigdata__x86_64-linux-gnu
import time:       391 |       1248 |                         zoneinfo._tzpath
import time:       142 |        142 |                         zoneinfo._common
import time:       181 |        181 |                         _zoneinfo
import time:       171 |       1741 |                       zoneinfo
import time:       391 |        391 |                       pydantic.annotated_handlers
import time:      2758 |       2758 |                       pydantic.functional_validators
import time:       305 |        305 |                         pydantic._internal._core_metadata
import time:       138 |        138 |                         pydantic._internal._schema_generation_shared
import time:      1745 |       2187 |                       pydantic.json_schema
import time:       225 |        225 |                       pydantic._internal._discriminated_union
import time:       223 |        223 |                       pydantic._internal._known_annotated_metadata
import time:       581 |        581 |                       pydantic._internal._schema_gather
import time:      1142 |      12123 |                     pydantic._internal._generate_schema
import time:       132 |        132 |                     pydantic._internal._signature
import time:      1034 |      13288 |                   pydantic._internal._model_construction
import time:       542 |        542 |                     http
import time:       166 |        708 |                   starlette.exceptions
import time:      5938 |       5938 |                     annotated_types
import time:       212 |        212 |                     pydantic._internal._validators
import time:      4436 |       4436 |                     pydantic.types
import time:      1644 |      12229 |                   pydantic.fields
import time:        51 |         51 |                         _csv
import time:       268 |        318 |                       csv
import time:       118 |        118 |                           importlib._abc
import time:       126 |        244 |                         importlib.util
import time:        72 |         72 |                           zlib
import time:       142 |        142 |                             _compression
import time:       213 |        213 |                             _bz2
import time:       253 |        606 |                           bz2
import time:       266 |        266 |                             _lzma
import time:       198 |        464 |                           lzma
import time:       585 |       1726 |                         shutil
import time:        78 |         78 |                           zipfile._path.glob
import time:       323 |        401 |                         zipfile._path
import time:      1303 |       3672 |                       zipfile
import time:        49 |         49 |                           importlib.metadata._functools
import time:       101 |        149 |                         importlib.metadata._text
import time:       215 |        364 |                       importlib.metadata._adapters
import time:       343 |        343 |                       importlib.metadata._meta
import time:       192 |        192 |                       importlib.metadata._collections
import time:        77 |         77 |                       importlib.metadata._itertools
import time:       344 |        344 |                             tempfile
import time:       322 |        322 |                             importlib.resources.abc
import time:       256 |        256 |                             importlib.resources._adapters
import time:       331 |       1252 |                           importlib.resources._common
import time:       144 |        144 |                           importlib.resources._legacy
import time:        99 |       1494 |                         importlib.resources
import time:       247 |       1740 |                       importlib.abc
import time:       979 |       7682 |                     importlib.metadata
import time:       135 |       7817 |                   pydantic.plugin._loader
import time:      9455 |      84147 |                 fastapi.exceptions
import time:        89 |         89 |                   fastapi.openapi
import time:       105 |        105 |                       fastapi.types
import time:       220 |        220 |                         shlex
import time:       120 |        120 |                                 anyio._core
import time:       356 |        475 |                               anyio._core._contextmanagers
import time:       242 |        242 |                                 anyio._core._exceptions
import time:        61 |         61 |                                 sniffio
import time:       189 |        491 |                               anyio._core._eventloop
import time:       314 |        314 |                                     anyio.abc._eventloop
import time:       100 |        100 |                                     anyio.abc._resources
import time:       118 |        118 |                                       anyio._core._typedattr
import time:       223 |        223 |                                         anyio.abc._tasks
import time:       605 |        828 |                                       anyio.abc._streams
import time:       464 |       1409 |                                     anyio.abc._sockets
import time:       118 |        118 |                                     anyio.abc._subprocesses
import time:       127 |        127 |                                     anyio.abc._testing
import time:       714 |        714 |                                       anyio.lowlevel
import time:       275 |        275 |                                       anyio._core._tasks
import time:       109 |        109 |                                       anyio._core._testing
import time:      2409 |       3506 |                                     anyio._core._synchronization
import time:       738 |        738 |                                     anyio.from_thread
import time:       395 |       6703 |                                   anyio.abc
import time:       129 |       6832 |                                 anyio.to_thread
import time:       831 |       7662 |                               anyio._core._fileio
import time:        93 |         93 |                               anyio._core._resources
import time:        71 |         71 |                               anyio._core._signals
import time:       175 |        175 |                                   anyio.streams
import time:      1223 |       1397 |                                 anyio.streams.stapled
import time:      1294 |       1294 |                                 anyio.streams.tls
import time:      1338 |       4028 |                               anyio._core._sockets
import time:      2416 |       2416 |                                 anyio.streams.memory
import time:       172 |       2587 |                               anyio._core._streams
import time:       126 |        126 |                               anyio._core._subprocesses
import time:       339 |        339 |                               anyio._core._tempfile
import time:       432 |      16300 |                             anyio
import time:        13 |      16313 |                           anyio.to_thread
import time:       126 |      16438 |                         starlette.concurrency
import time:       117 |        117 |                         starlette.types
import time:       808 |      17582 |                       starlette.datastructures
import time:       233 |      17920 |                     fastapi._compat.shared
import time:        72 |         72 |                       fastapi.openapi.constants
import time:      1267 |       1339 |                     fastapi._compat.v2
import time:       143 |      19401 |                   fastapi._compat
import time:        97 |         97 |                   fastapi.logger
import time:       125 |        125 |                     email_validator.exceptions
import time:       179 |        179 |                     email_validator.types
import time:        64 |         64 |                       unicodedata
import time:     11680 |      11680 |                         email_validator.rfc_constants
