import time: self [us] | cumulative | imported package
import time:       873 |        873 |           openbb_core.provider.standard_models.cot_search
import time:       960 |       1832 |         openbb_cftc.models.cot_search
import time:        89 |         89 |           openbb_cme.models
import time:        59 |         59 |             openbb_cme.utils
import time:       163 |        222 |           openbb_cme.utils.constants
import time:      1533 |       1843 |         openbb_cme.models.futures_curve
import time:      1170 |       1170 |           openbb_core.provider.standard_models.futures_historical
import time:      1357 |       2527 |         openbb_cme.models.futures_historical
import time:       549 |        549 |           openbb_core.provider.standard_models.futures_info
import time:      1358 |       1906 |         openbb_cme.models.futures_info
import time:       373 |        373 |           openbb_core.provider.standard_models.futures_instruments
import time:      1473 |       1846 |         openbb_cme.models.futures_instruments
import time:        84 |         84 |           openbb_congress_gov.models
import time:      1460 |       1544 |         openbb_congress_gov.models.bill_info
import time:      1013 |       1013 |         openbb_congress_gov.models.bill_text
import time:        89 |         89 |             openbb_congress_gov.utils
import time:       187 |        276 |           openbb_congress_gov.utils.constants
import time:       176 |        176 |           openbb_congress_gov.utils.helpers
import time:      2096 |       2547 |         openbb_congress_gov.models.congress_bills
import time:        89 |         89 |           openbb_deribit.models
import time:        61 |         61 |             openbb_deribit.utils
import time:       975 |        975 |             async_lru
import time:       367 |       1403 |           openbb_deribit.utils.helpers
import time:      1446 |       2937 |         openbb_deribit.models.futures_curve
import time:      1222 |       1222 |         openbb_deribit.models.futures_historical
import time:      2406 |       2406 |         openbb_deribit.models.futures_info
import time:      1798 |       1798 |         openbb_deribit.models.futures_instruments
import time:     12775 |      12775 |         openbb_deribit.models.options_chains
import time:       120 |        120 |           openbb_ecb.models
import time:     13919 |      13919 |           openbb_core.provider.standard_models.balance_of_payments
import time:       122 |        122 |             openbb_ecb.utils
import time:       300 |        422 |           openbb_ecb.utils.bps_series
import time:      7001 |      21461 |         openbb_ecb.models.balance_of_payments
import time:      2677 |       2677 |           openbb_core.provider.standard_models.currency_reference_rates
import time:      1890 |       4567 |         openbb_ecb.models.currency_reference_rates
import time:       952 |        952 |           openbb_core.provider.standard_models.yield_curve
import time:      1447 |       2399 |         openbb_ecb.models.yield_curve
import time:        94 |         94 |           openbb_econdb.models
import time:       935 |        935 |           openbb_core.provider.standard_models.available_indicators
import time:      1613 |       2641 |         openbb_econdb.models.available_indicators
import time:      1781 |       1781 |           openbb_core.provider.standard_models.country_profile
import time:      1925 |       3706 |         openbb_econdb.models.country_profile
import time:      1369 |       1369 |           openbb_core.provider.standard_models.economic_indicators
import time:      2066 |       3435 |         openbb_econdb.models.economic_indicators
import time:       955 |        955 |           openbb_core.provider.standard_models.export_destinations
import time:      1002 |       1957 |         openbb_econdb.models.export_destinations
import time:       874 |        874 |           openbb_core.provider.standard_models.gdp_nominal
import time:      1328 |       2201 |         openbb_econdb.models.gdp_nominal
import time:      1393 |       1393 |         openbb_econdb.models.gdp_real
import time:       948 |        948 |           openbb_core.provider.standard_models.port_volume
import time:      1308 |       2256 |         openbb_econdb.models.port_volume
import time:        73 |         73 |             openbb_econdb.utils
import time:       203 |        276 |           openbb_econdb.utils.yield_curves
import time:      1669 |       1945 |         openbb_econdb.models.yield_curve
import time:        89 |         89 |           openbb_famafrench.models
import time:        55 |         55 |             openbb_famafrench.utils
import time:      1339 |       1393 |           openbb_famafrench.utils.constants
import time:      2575 |       4056 |         openbb_famafrench.models.breakpoints
import time:      2605 |       2605 |         openbb_famafrench.models.country_portfolio_returns
import time:      2489 |       2489 |         openbb_famafrench.models.factors
import time:      2566 |       2566 |         openbb_famafrench.models.international_index_returns
import time:      2248 |       2248 |         openbb_famafrench.models.regional_portfolio_returns
import time:      2233 |       2233 |         openbb_famafrench.models.us_portfolio_returns
import time:        77 |         77 |           openbb_federal_reserve.models
import time:       713 |        713 |           openbb_core.provider.standard_models.central_bank_holdings
import time:      3127 |       3916 |         openbb_federal_reserve.models.central_bank_holdings
import time:      1369 |       1369 |           openbb_core.provider.standard_models.federal_funds_rate
import time:      1838 |       3207 |         openbb_federal_reserve.models.federal_funds_rate
import time:        72 |         72 |             openbb_federal_reserve.utils
import time:       104 |        104 |             openbb_core.provider.utils.lru
import time:       293 |        467 |           openbb_federal_reserve.utils.fomc_documents
import time:      1167 |       1634 |         openbb_federal_reserve.models.fomc_documents
import time:      1108 |       1108 |         openbb_federal_reserve.models.inflation_expectations
import time:      1201 |       1201 |           openbb_core.provider.standard_models.money_measures
import time:      1110 |       2310 |         openbb_federal_reserve.models.money_measures
import time:      1122 |       1122 |           openbb_core.provider.standard_models.overnight_bank_funding_rate
import time:      1349 |       2470 |         openbb_federal_reserve.models.overnight_bank_funding_rate
import time:       819 |        819 |           openbb_core.provider.standard_models.primary_dealer_fails
import time:       146 |        146 |           openbb_federal_reserve.utils.primary_dealer_statistics
import time:      1151 |       2115 |         openbb_federal_reserve.models.primary_dealer_fails
import time:       760 |        760 |           openbb_core.provider.standard_models.primary_dealer_positioning
import time:      1094 |       1853 |         openbb_federal_reserve.models.primary_dealer_positioning
import time:      1306 |       1306 |           openbb_core.provider.standard_models.sofr
import time:      1286 |       2591 |         openbb_federal_reserve.models.sofr
import time:     10185 |      10185 |         openbb_federal_reserve.models.svensson_yield_curve
import time:      5316 |       5316 |         openbb_federal_reserve.models.total_factor_productivity
import time:      1632 |       1632 |           openbb_core.provider.standard_models.treasury_rates
import time:      1510 |       3141 |         openbb_federal_reserve.models.treasury_rates
import time:      1002 |       1002 |         openbb_federal_reserve.models.yield_curve
import time:        69 |         69 |           openbb_finra.models
import time:      1702 |       1702 |           openbb_core.provider.standard_models.equity_short_interest
import time:      1064 |       2834 |         openbb_finra.models.equity_short_interest
import time:       840 |        840 |           openbb_core.provider.standard_models.otc_aggregate
import time:      1077 |       1916 |         openbb_finra.models.otc_aggregate
import time:        85 |         85 |           openbb_finviz.models
import time:       470 |        470 |           openbb_core.provider.standard_models.compare_groups
import time:        80 |         80 |             openbb_finviz.utils
import time:       143 |        222 |           openbb_finviz.utils.definitions
import time:      3043 |       3818 |         openbb_finviz.models.compare_groups
import time:      3061 |       3061 |           openbb_core.provider.standard_models.equity_info
import time:      2962 |       6023 |         openbb_finviz.models.equity_profile
import time:       736 |        736 |           openbb_core.provider.standard_models.equity_screener
import time:       462 |        462 |           openbb_finviz.utils.screener_helper
import time:      6222 |       7419 |         openbb_finviz.models.equity_screener
import time:      1051 |       1051 |           openbb_core.provider.standard_models.key_metrics
import time:      2988 |       4038 |         openbb_finviz.models.key_metrics
import time:      1814 |       1814 |           openbb_core.provider.standard_models.recent_performance
import time:      1903 |       3717 |         openbb_finviz.models.price_performance
import time:      1612 |       1612 |         openbb_finviz.models.price_target
import time:        95 |         95 |           openbb_fmp.models
import time:      2797 |       2797 |           openbb_core.provider.standard_models.analyst_estimates
import time:      2564 |       5456 |         openbb_fmp.models.analyst_estimates
import time:       765 |        765 |         openbb_fmp.models.available_indices
import time:      1028 |       1028 |           openbb_core.provider.standard_models.balance_sheet
import time:        90 |         90 |             openbb_fmp.utils
import time:       592 |        681 |           openbb_fmp.utils.definitions
import time:      4760 |       6469 |         openbb_fmp.models.balance_sheet
import time:       908 |        908 |           openbb_core.provider.standard_models.balance_sheet_growth
import time:      4740 |       5647 |         openbb_fmp.models.balance_sheet_growth
import time:      1157 |       1157 |           openbb_core.provider.standard_models.calendar_dividend
import time:      1530 |       2686 |         openbb_fmp.models.calendar_dividend
import time:      1061 |       1061 |           openbb_core.provider.standard_models.calendar_earnings
import time:      1329 |       2389 |         openbb_fmp.models.calendar_earnings
import time:       737 |        737 |           openbb_core.provider.standard_models.calendar_events
import time:      1251 |       1987 |         openbb_fmp.models.calendar_events
import time:       975 |        975 |           openbb_core.provider.standard_models.calendar_ipo
import time:      1495 |       2469 |         openbb_fmp.models.calendar_ipo
import time:       919 |        919 |           openbb_core.provider.standard_models.calendar_splits
import time:       776 |       1694 |         openbb_fmp.models.calendar_splits
import time:       942 |        942 |           openbb_core.provider.standard_models.cash_flow
import time:      4789 |       5730 |         openbb_fmp.models.cash_flow
import time:       993 |        993 |           openbb_core.provider.standard_models.cash_flow_growth
import time:      3474 |       4466 |         openbb_fmp.models.cash_flow_growth
import time:       927 |        927 |           openbb_core.provider.standard_models.company_filings
import time:      1738 |       2665 |         openbb_fmp.models.company_filings
import time:      1465 |       1465 |         openbb_fmp.models.company_news
import time:      1402 |       1402 |           openbb_core.provider.standard_models.crypto_historical
import time:      1493 |       2894 |         openbb_fmp.models.crypto_historical
import time:       686 |        686 |           openbb_core.provider.standard_models.crypto_search
import time:      1150 |       1835 |         openbb_fmp.models.crypto_search
import time:      1467 |       1467 |           openbb_core.provider.standard_models.currency_historical
import time:      1464 |       2931 |         openbb_fmp.models.currency_historical
import time:       734 |        734 |           openbb_core.provider.standard_models.currency_pairs
import time:      1168 |       1901 |         openbb_fmp.models.currency_pairs
import time:      1440 |       1440 |           openbb_core.provider.standard_models.currency_snapshots
import time:      1880 |       3320 |         openbb_fmp.models.currency_snapshots
import time:      1170 |       1170 |           openbb_core.provider.standard_models.discovery_filings
import time:      1174 |       2343 |         openbb_fmp.models.discovery_filings
import time:      1186 |       1186 |           openbb_core.provider.standard_models.earnings_call_transcript
import time:       992 |       2177 |         openbb_fmp.models.earnings_call_transcript
import time:      1454 |       1454 |           openbb_core.provider.standard_models.economic_calendar
import time:      1471 |       2924 |         openbb_fmp.models.economic_calendar
import time:      1154 |       1154 |           openbb_core.provider.standard_models.equity_performance
import time:      1151 |       2305 |         openbb_fmp.models.equity_gainers
import time:      1531 |       1531 |         openbb_fmp.models.equity_historical
import time:      1102 |       1102 |         openbb_fmp.models.equity_losers
import time:      1133 |       1133 |         openbb_fmp.models.equity_most_active
import time:       917 |        917 |           openbb_core.provider.standard_models.equity_ownership
import time:      3911 |       4828 |         openbb_fmp.models.equity_ownership
import time:       681 |        681 |           openbb_core.provider.standard_models.equity_peers
import time:      1055 |       1736 |         openbb_fmp.models.equity_peers
import time:      3483 |       3483 |         openbb_fmp.models.equity_profile
import time:      2637 |       2637 |         openbb_fmp.models.equity_quote
import time:      1073 |       1073 |           openbb_core.provider.utils.country_utils
import time:      5681 |       5681 |           openbb_core.provider.utils.exchange_utils
import time:      5138 |      11891 |         openbb_fmp.models.equity_screener
import time:      1607 |       1607 |           openbb_core.provider.standard_models.esg_score
import time:      1269 |       2875 |         openbb_fmp.models.esg_score
import time:       879 |        879 |           openbb_core.provider.standard_models.etf_countries
import time:       785 |       1664 |         openbb_fmp.models.etf_countries
import time:      1089 |       1089 |           openbb_core.provider.standard_models.etf_equity_exposure
import time:       974 |       2062 |         openbb_fmp.models.etf_equity_exposure
import time:       784 |        784 |           openbb_core.provider.standard_models.etf_holdings
import time:      1430 |       2214 |         openbb_fmp.models.etf_holdings
import time:      1163 |       1163 |           openbb_core.provider.standard_models.etf_info
import time:      1678 |       2841 |         openbb_fmp.models.etf_info
import time:       801 |        801 |           openbb_core.provider.standard_models.etf_search
import time:      1683 |       2484 |         openbb_fmp.models.etf_search
import time:       858 |        858 |           openbb_core.provider.standard_models.etf_sectors
import time:       953 |       1810 |         openbb_fmp.models.etf_sectors
import time:      1654 |       1654 |           openbb_core.provider.standard_models.executive_compensation
import time:      1582 |       3236 |         openbb_fmp.models.executive_compensation
import time:       991 |        991 |           openbb_core.provider.standard_models.financial_ratios
import time:      5083 |       6073 |         openbb_fmp.models.financial_ratios
import time:      1795 |       1795 |           openbb_core.provider.standard_models.forward_ebitda_estimates
import time:      1942 |       3736 |         openbb_fmp.models.forward_ebitda_estimates
import time:      1499 |       1499 |           openbb_core.provider.standard_models.forward_eps_estimates
import time:      1600 |       3098 |         openbb_fmp.models.forward_eps_estimates
import time:      1533 |       1533 |           openbb_core.provider.standard_models.government_trades
import time:      1694 |       3226 |         openbb_fmp.models.government_trades
import time:      1050 |       1050 |           openbb_core.provider.standard_models.historical_dividends
import time:      1574 |       2624 |         openbb_fmp.models.historical_dividends
import time:      1020 |       1020 |           openbb_core.provider.standard_models.historical_employees
import time:      1266 |       2285 |         openbb_fmp.models.historical_employees
import time:      1223 |       1223 |         openbb_fmp.models.historical_eps
import time:      1057 |       1057 |           openbb_core.provider.standard_models.historical_market_cap
import time:       955 |       2012 |         openbb_fmp.models.historical_market_cap
import time:       855 |        855 |           openbb_core.provider.standard_models.historical_splits
import time:       226 |        226 |           openbb_fmp.utils.helpers
import time:       995 |       2076 |         openbb_fmp.models.historical_splits
import time:      1023 |       1023 |           openbb_core.provider.standard_models.income_statement
import time:      3445 |       4468 |         openbb_fmp.models.income_statement
import time:       908 |        908 |           openbb_core.provider.standard_models.income_statement_growth
import time:      3203 |       4111 |         openbb_fmp.models.income_statement_growth
import time:      1883 |       1883 |         openbb_fmp.models.index_constituents
import time:      1555 |       1555 |         openbb_fmp.models.index_historical
import time:      1930 |       1930 |           openbb_core.provider.standard_models.insider_trading
import time:      2678 |       4607 |         openbb_fmp.models.insider_trading
import time:      1430 |       1430 |           openbb_core.provider.standard_models.institutional_ownership
import time:     28694 |      30124 |         openbb_fmp.models.institutional_ownership
import time:      1490 |       1490 |           openbb_core.provider.standard_models.key_executives
import time:      1291 |       2780 |         openbb_fmp.models.key_executives
import time:      4004 |       4004 |         openbb_fmp.models.key_metrics
import time:      1247 |       1247 |           openbb_core.provider.standard_models.market_snapshots
import time:      2075 |       3322 |         openbb_fmp.models.market_snapshots
import time:      2485 |       2485 |           openbb_core.provider.standard_models.nport_disclosure
import time:      2291 |       4776 |         openbb_fmp.models.nport_disclosure
import time:      1420 |       1420 |         openbb_fmp.models.price_performance
import time:      1693 |       1693 |         openbb_fmp.models.price_target
import time:      1252 |       1252 |           openbb_core.provider.standard_models.price_target_consensus
import time:      1053 |       2304 |         openbb_fmp.models.price_target_consensus
import time:      1182 |       1182 |           openbb_core.provider.standard_models.revenue_business_line
import time:      1071 |       2252 |         openbb_fmp.models.revenue_business_line
import time:      1049 |       1049 |           openbb_core.provider.standard_models.revenue_geographic
import time:      1415 |       2464 |         openbb_fmp.models.revenue_geographic
import time:       934 |        934 |           openbb_core.provider.standard_models.risk_premium
import time:       865 |       1798 |         openbb_fmp.models.risk_premium
import time:      1087 |       1087 |           openbb_core.provider.standard_models.share_statistics
import time:      1262 |       2348 |         openbb_fmp.models.share_statistics
import time:      1401 |       1401 |         openbb_fmp.models.treasury_rates
import time:      1670 |       1670 |         openbb_fmp.models.world_news
import time:       903 |        903 |         openbb_fmp.models.yield_curve
import time:       108 |        108 |           openbb_fred.models
import time:       975 |        975 |           openbb_core.provider.standard_models.ameribor
import time:      1052 |       1052 |             openbb_core.provider.standard_models.fred_series
import time:      1748 |       2800 |           openbb_fred.models.series
import time:      2532 |       6412 |         openbb_fred.models.ameribor
import time:        69 |         69 |             openbb_fred.utils
import time:       465 |        534 |           openbb_fred.utils.fred_helpers
import time:      2676 |       3209 |         openbb_fred.models.balance_of_payments
import time:      1040 |       1040 |           openbb_core.provider.standard_models.bond_indices
import time:      2153 |       3193 |         openbb_fred.models.bond_indices
import time:       943 |        943 |           openbb_core.provider.standard_models.commercial_paper
import time:      1726 |       2668 |         openbb_fred.models.commercial_paper
import time:      1103 |       1103 |           openbb_core.provider.standard_models.commodity_spot_prices
import time:      2219 |       3322 |         openbb_fred.models.commodity_spot_prices
import time:      1098 |       1098 |           openbb_core.provider.standard_models.consumer_price_index
import time:      1513 |       2610 |         openbb_fred.models.consumer_price_index
import time:       747 |        747 |           openbb_core.provider.standard_models.dwpcr_rates
import time:      1018 |       1765 |         openbb_fred.models.dwpcr_rates
import time:      1024 |       1024 |           openbb_core.provider.standard_models.ecb_interest_rates
import time:       922 |       1946 |         openbb_fred.models.ecb_interest_rates
import time:      1362 |       1362 |         openbb_fred.models.economic_calendar
import time:      1243 |       1243 |           openbb_core.provider.standard_models.euro_short_term_rate
import time:      2062 |       3304 |         openbb_fred.models.euro_short_term_rate
import time:      1088 |       1088 |           openbb_core.provider.standard_models.fed_projections
import time:       966 |       2054 |         openbb_fred.models.fed_projections
import time:      2283 |       2283 |         openbb_fred.models.federal_funds_rate
import time:      1198 |       1198 |           openbb_core.provider.standard_models.ffrmc
import time:       999 |       2196 |         openbb_fred.models.ffrmc
import time:       949 |        949 |           openbb_core.provider.standard_models.high_quality_market
import time:      1104 |       2052 |         openbb_fred.models.high_quality_market
import time:       809 |        809 |           openbb_core.provider.standard_models.iorb_rates
import time:       878 |       1686 |         openbb_fred.models.iorb_rates
import time:      1140 |       1140 |           openbb_core.provider.standard_models.manufacturing_outlook_texas
import time:      2183 |       3322 |         openbb_fred.models.manufacturing_outlook_ny
import time:      2125 |       2125 |         openbb_fred.models.manufacturing_outlook_texas
import time:       965 |        965 |           openbb_core.provider.standard_models.mortgage_indices
import time:      2665 |       3630 |         openbb_fred.models.mortgage_indices
import time:       773 |        773 |           openbb_core.provider.standard_models.non_farm_payrolls
import time:      1474 |       2246 |         openbb_fred.models.non_farm_payrolls
import time:      2391 |       2391 |         openbb_fred.models.overnight_bank_funding_rate
import time:       820 |        820 |           openbb_core.provider.standard_models.personal_consumption_expenditures
import time:      1538 |       2357 |         openbb_fred.models.personal_consumption_expenditures
import time:      2296 |       2296 |         openbb_fred.models.regional
import time:      2549 |       2549 |           openbb_core.provider.standard_models.fred_release_table
import time:      2198 |       4746 |         openbb_fred.models.release_table
import time:      1379 |       1379 |           openbb_core.provider.standard_models.retail_prices
import time:      2785 |       4164 |         openbb_fred.models.retail_prices
import time:      2691 |       2691 |           openbb_core.provider.standard_models.fred_search
import time:      3348 |       6039 |         openbb_fred.models.search
import time:      1116 |       1116 |           openbb_core.provider.standard_models.senior_loan_officer_survey
import time:      1904 |       3020 |         openbb_fred.models.senior_loan_officer_survey
import time:      2891 |       2891 |         openbb_fred.models.sofr
import time:       863 |        863 |           openbb_core.provider.standard_models.sonia_rates
import time:      1218 |       2081 |         openbb_fred.models.sonia_rates
import time:      1149 |       1149 |           openbb_core.provider.standard_models.spot
import time:       968 |       2117 |         openbb_fred.models.spot
import time:      1457 |       1457 |           openbb_core.provider.standard_models.survey_of_economic_conditions_chicago
import time:      2028 |       3484 |         openbb_fred.models.survey_of_economic_conditions_chicago
import time:      1055 |       1055 |           openbb_core.provider.standard_models.tbffr
import time:       986 |       2040 |         openbb_fred.models.tbffr
import time:      1049 |       1049 |           openbb_core.provider.standard_models.tips_yields
import time:      1902 |       2951 |         openbb_fred.models.tips_yields
import time:      1015 |       1015 |           openbb_core.provider.standard_models.tmc
import time:      1073 |       2088 |         openbb_fred.models.tmc
import time:      1788 |       1788 |           openbb_core.provider.standard_models.university_of_michigan
import time:      1271 |       3058 |         openbb_fred.models.university_of_michigan
import time:      1153 |       1153 |         openbb_fred.models.yield_curve
import time:       106 |        106 |           openbb_government_us.models
import time:      1143 |       1143 |           openbb_core.provider.standard_models.commodity_psd_data
import time:        89 |         89 |             openbb_government_us.utils
import time:       960 |       1049 |           openbb_government_us.utils.psd_codes
import time:      2535 |       4831 |         openbb_government_us.models.commodity_psd_data
import time:       841 |        841 |           openbb_core.provider.standard_models.commodity_psd_report
import time:      1115 |       1956 |         openbb_government_us.models.commodity_psd_report
import time:      9669 |       9669 |           openbb_core.provider.standard_models.treasury_auctions
import time:      6237 |      15905 |         openbb_government_us.models.treasury_auctions
import time:      1767 |       1767 |           openbb_core.provider.standard_models.treasury_prices
import time:      1714 |       3481 |         openbb_government_us.models.treasury_prices
import time:      1017 |       1017 |           openbb_core.provider.standard_models.weather_bulletin
import time:       961 |       1978 |         openbb_government_us.models.weather_bulletin
import time:       793 |        793 |           openbb_core.provider.standard_models.weather_bulletin_download
import time:       837 |       1629 |         openbb_government_us.models.weather_bulletin_download
import time:       133 |        133 |           openbb_imf.models
import time:      2466 |       2599 |         openbb_imf.models.available_indicators
import time:        83 |         83 |             openbb_imf.utils
import time:       312 |        395 |           openbb_imf.utils.helpers
import time:       404 |        404 |             openbb_imf.utils.metadata
import time:       375 |        779 |           openbb_imf.utils.query_builder
import time:      2924 |       4096 |         openbb_imf.models.consumer_price_index
import time:      1403 |       1403 |           openbb_core.provider.standard_models.direction_of_trade
import time:       146 |        146 |           openbb_imf.utils.dot_helpers
import time:       339 |        339 |           gzip
import time:       607 |        607 |                 urllib3.exceptions
import time:       249 |        249 |                         urllib3.util.timeout
import time:       225 |        474 |                       urllib3.util.connection
import time:       157 |        157 |                         urllib3.util.util
import time:        68 |         68 |                         brotlicffi
import time:        50 |         50 |                         brotli
import time:        50 |         50 |                         backports
import time:       485 |        807 |                       urllib3.util.request
import time:       103 |        103 |                       urllib3.util.response
import time:       354 |        354 |                       urllib3.util.retry
import time:      7408 |       7408 |                         urllib3.util.url
import time:       288 |        288 |                         urllib3.util.ssltransport
import time:       344 |       8039 |                       urllib3.util.ssl_
import time:       113 |        113 |                       urllib3.util.wait
import time:       187 |      10073 |                     urllib3.util
import time:        34 |      10107 |                   urllib3.util.connection
import time:       476 |      10583 |                 urllib3._base_connection
import time:       497 |        497 |                 urllib3._collections
import time:       100 |        100 |                 urllib3._version
import time:       153 |        153 |                     _queue
import time:       219 |        371 |                   queue
import time:       253 |        253 |                       urllib3.fields
import time:       194 |        447 |                     urllib3.filepost
import time:        61 |         61 |                       brotlicffi
import time:        61 |         61 |                       brotli
import time:        86 |         86 |                         urllib3.http2
import time:       178 |        178 |                         urllib3.http2.probe
import time:       110 |        110 |                         urllib3.util.ssl_match_hostname
import time:       569 |        941 |                       urllib3.connection
import time:        64 |         64 |                       backports
import time:       503 |       1629 |                     urllib3.response
import time:       246 |       2322 |                   urllib3._request_methods
import time:        77 |         77 |                   urllib3.util.proxy
import time:       430 |       3199 |                 urllib3.connectionpool
import time:      1084 |       1084 |                 urllib3.poolmanager
import time:       418 |      16486 |               urllib3
import time:       230 |        230 |                       81d243bd2c585b0f4821__mypyc
import time:       962 |        962 |                       charset_normalizer.constant
import time:       134 |        134 |                           _multibytecodec
import time:       376 |        509 |                         charset_normalizer.utils
import time:       278 |        786 |                       charset_normalizer.md
import time:       377 |        377 |                       charset_normalizer.models
import time:       352 |       2706 |                     charset_normalizer.cd
import time:       271 |        271 |                     _codecs_tw
import time:       297 |        297 |                     _codecs_hk
import time:       975 |        975 |                     _codecs_jp
import time:       236 |        236 |                     _codecs_kr
import time:       246 |        246 |                     _codecs_cn
import time:       247 |        247 |                     _codecs_iso2022
import time:     55284 |      60259 |                   charset_normalizer.api
import time:       110 |        110 |                   charset_normalizer.legacy
import time:        63 |         63 |                   charset_normalizer.version
import time:        70 |         70 |                   simplejson
import time:      1932 |       1932 |                   http.cookiejar
import time:       506 |      62937 |                 requests.compat
import time:       457 |      63394 |               requests.exceptions
import time:        77 |         77 |               chardet
import time:       495 |        495 |               requests.packages
import time:        94 |         94 |                     certifi.core
import time:       122 |        215 |                   certifi
import time:        73 |        288 |                 requests.certs
import time:        59 |         59 |                 requests.__version__
import time:       253 |        253 |                 requests._internal_utils
import time:       257 |        257 |                 requests.cookies
import time:       153 |        153 |                 requests.structures
import time:        51 |         51 |                     importlib.resources._itertools
import time:       203 |        253 |                   importlib.resources.readers
import time:       162 |        414 |                 importlib.readers
import time:       569 |       1991 |               requests.utils
import time:       164 |        164 |                     requests.auth
import time:       321 |        321 |                         stringprep
import time:       257 |        578 |                       encodings.idna
import time:        82 |         82 |                       requests.hooks
import time:       269 |        269 |                       requests.status_codes
import time:       335 |       1263 |                     requests.models
import time:        74 |         74 |                       urllib3.contrib
import time:        55 |         55 |                       socks
import time:       182 |        310 |                     urllib3.contrib.socks
import time:       257 |       1992 |                   requests.adapters
import time:       217 |       2208 |                 requests.sessions
import time:       110 |       2318 |               requests.api
import time:       436 |      85193 |             requests
import time:        44 |      85237 |           requests.exceptions
import time:    126741 |     213864 |         openbb_imf.models.direction_of_trade
import time:      3002 |       3002 |         openbb_imf.models.economic_indicators
import time:       568 |        568 |           openbb_core.provider.standard_models.maritime_chokepoint_info
import time:      1532 |       2100 |         openbb_imf.models.maritime_chokepoint_info
import time:       691 |        691 |           openbb_core.provider.standard_models.maritime_chokepoint_volume
import time:       534 |        534 |           openbb_imf.utils.constants
import time:      1958 |       3182 |         openbb_imf.models.maritime_chokepoint_volume
import time:       506 |        506 |           openbb_core.provider.standard_models.port_info
import time:      2388 |       2894 |         openbb_imf.models.port_info
import time:       200 |        200 |           openbb_imf.utils.port_watch_helpers
import time:      2553 |       2753 |         openbb_imf.models.port_volume
import time:        94 |         94 |           openbb_intrinio.models
import time:        62 |         62 |             openbb_intrinio.utils
import time:       198 |        260 |           openbb_intrinio.utils.helpers
import time:      7386 |       7740 |         openbb_intrinio.models.balance_sheet
import time:      2169 |       2169 |           openbb_intrinio.utils.references
import time:      2832 |       5000 |         openbb_intrinio.models.calendar_ipo
import time:      4421 |       4421 |         openbb_intrinio.models.cash_flow
import time:      2518 |       2518 |         openbb_intrinio.models.company_filings
import time:      3038 |       3038 |         openbb_intrinio.models.company_news
import time:       933 |        933 |         openbb_intrinio.models.currency_pairs
import time:      2674 |       2674 |         openbb_intrinio.models.equity_historical
import time:      2182 |       2182 |         openbb_intrinio.models.equity_info
import time:      2844 |       2844 |         openbb_intrinio.models.equity_quote
import time:      1184 |       1184 |         openbb_intrinio.models.equity_search
import time:      1921 |       1921 |         openbb_intrinio.models.etf_holdings
import time:      8216 |       8216 |         openbb_intrinio.models.etf_info
import time:      2499 |       2499 |         openbb_intrinio.models.etf_price_performance
import time:      1473 |       1473 |         openbb_intrinio.models.etf_search
import time:      1327 |       1327 |         openbb_intrinio.models.financial_ratios
import time:      2094 |       2094 |         openbb_intrinio.models.forward_ebitda_estimates
import time:      2355 |       2355 |         openbb_intrinio.models.forward_eps_estimates
import time:      1194 |       1194 |           openbb_core.provider.standard_models.forward_pe_estimates
import time:      1448 |       2641 |         openbb_intrinio.models.forward_pe_estimates
import time:      1932 |       1932 |           openbb_core.provider.standard_models.forward_sales_estimates
import time:      2780 |       4712 |         openbb_intrinio.models.forward_sales_estimates
import time:      1117 |       1117 |         openbb_intrinio.models.fred_series
import time:      1729 |       1729 |           openbb_core.provider.standard_models.historical_attributes
import time:      1385 |       3114 |         openbb_intrinio.models.historical_attributes
import time:      1235 |       1235 |         openbb_intrinio.models.historical_dividends
import time:      1095 |       1095 |         openbb_intrinio.models.historical_market_cap
import time:      6268 |       6268 |         openbb_intrinio.models.income_statement
import time:      1300 |       1300 |         openbb_intrinio.models.index_historical
import time:      3510 |       3510 |         openbb_intrinio.models.insider_trading
import time:      4362 |       4362 |         openbb_intrinio.models.key_metrics
import time:       974 |        974 |           openbb_core.provider.standard_models.latest_attributes
import time:       881 |       1855 |         openbb_intrinio.models.latest_attributes
import time:      2105 |       2105 |         openbb_intrinio.models.market_snapshots
import time:     11281 |      11281 |         openbb_intrinio.models.options_chains
import time:      2776 |       2776 |           openbb_core.provider.standard_models.options_snapshots
import time:      4680 |       7456 |         openbb_intrinio.models.options_snapshots
import time:      1105 |       1105 |           openbb_core.provider.standard_models.options_unusual
import time:       198 |        198 |             pytz.exceptions
import time:       198 |        198 |             pytz.lazy
import time:       195 |        195 |             pytz.tzinfo
import time:       115 |        115 |             pytz.tzfile
import time:       616 |       1321 |           pytz
import time:      2556 |       4980 |         openbb_intrinio.models.options_unusual
import time:      1561 |       1561 |         openbb_intrinio.models.price_target_consensus
import time:      1117 |       1117 |           openbb_core.provider.standard_models.reported_financials
import time:      1185 |       2302 |         openbb_intrinio.models.reported_financials
import time:      1864 |       1864 |           openbb_core.provider.standard_models.search_attributes
import time:      1070 |       2933 |         openbb_intrinio.models.search_attributes
import time:      1166 |       1166 |         openbb_intrinio.models.share_statistics
import time:      2967 |       2967 |         openbb_intrinio.models.world_news
import time:       108 |        108 |           openbb_multpl.models
import time:      1100 |       1100 |           openbb_core.provider.standard_models.sp500_multiples
