COSS Company,FOSS Core(s),Sector / Space,Round,Size (M),Month Announced,Year,Lead VC,Link
dbt Labs,dbt,,D,$222.0,February,2022,Altimeter,https://blog.getdbt.com/next-layer-of-the-modern-data-stack/
Vercel,Next.js,,D,$150.0,November,2021,GGV Capital,https://vercel.com/blog/vercel-funding-series-d-and-valuation
Akeneo,Akeneo PIM,,D,$135.0,March,2022,Summit Partners,https://www.akeneo.com/press-release/akeneo-announces-135-million-series-d-to-redefine-product-information-management-category/
Netlify,,,D,$105.0,November,2021,Bessemer Venture Partners,https://www.netlify.com/press/netlify-raises-usd105-million-to-transform-development-for-the-modern-web
MariaDB,,,D,$104.0,February,2022,Angel Pond Holdings Corp.,https://www.zdnet.com/article/mariadb-announces-intent-to-go-public/
Aiven,,,D,$60.0,October,2021,"World Innovation Labs, IVP",https://aiven.io/blog/raising-a-unicorn
Aiven,Aiven,,C,$100.0,March,2021,Atomico,https://aiven.io/press/aiven-raises-usd100m-series-c-to-expand-global-open-source-innovation
Dremio,Apache Arrow,,C,$70.0,March,2020,Insight Partners,https://www.dremio.com/press-releases/dremio-closes-70-million-in-growth-funding/
Fishtown / DBT,dbt,,C,$150.0,June,2021,Altimeter,https://blog.getdbt.com/of-the-community-by-the-community-for-the-community/
Imply,Druid,,C,$70.0,June,2021,Bessemer,https://imply.io/post/imply-raises-70mm-in-series-c-funding
Grafana Labs,Grafana,,C,$220.0,August,2021,"Sequoia Capital, Coatue",https://grafana.com/about/press/2021/08/24/grafana-labs-raises-220m-to-accelerate-global-adoption-and-development-of-open-source-visualization-and-observability-platform/
Replicated,Kubernetes,,C,$50.0,August,2021,Owl Rock Capital,https://www.replicated.com/blog/series-c-announcement?utm_campaign=Series%20C&utm_content=174032054&utm_medium=social&utm_source=twitter&hss_channel=tw-3320570544
Weaveworks,Kubernetes,,C,$36.0,December,2020,AWS,https://www.weave.works/press/releases/weaveworks-raises-36-million-series-c/
Robin,Kubernetes ,,C,$38.0,June,2021,Rakuten,https://robin.io/press/robin-io-to-capitalize-on-rapid-adoption-of-cloud-native-technology-across-5g-and-enterprise-with-38-million-series-c-led-by-rakuten-capital/
MariaDB,MariaDB,,C,$25.0,July,2020,SmartFin,https://techcrunch.com/2020/07/09/mariadb-raises-25m-more-to-expand-its-skysql-cloud-database-platform/
Materialize,Materialize,,C,$60.0,October,2021,Redpoint Ventures,https://materialize.com/materialize-raises-a-series-c/
Vercel,Next.js,,C,$102.0,June,2021,Bedrock,https://vercel.com/blog/series-c-102m-continue-building-the-next-web
Uptycs,osquery,,C,$50.0,May,2021,Norwest,https://www.uptycs.com/blog/uptycs-announces-series-c-funding
Tenstorrent,RISC-V,,C,$200.0,May,2021,Fidelity,https://tenstorrent.com/research/tenstorrent-raises-over-200-million-at-1-billion-valuation-to-create-programmable-high-performance-ai-computers/
Snorkel AI,Snorkel,,C,$85.0,August,2021,"Blackrock, Addition",https://snorkel.ai/85-million-series-c-accelerating-data-centric-ai-enterprise/
Sourcegraph,Sourcegraph,,C,$50.0,December,2020,Sequoia Capital,https://about.sourcegraph.com/blog/series-c-with-sequoia/
Armory,Spinnaker,,C,$40.0,October,2020,B Capital,https://www.armory.io/blog/armory-in-the-news-october-19th-2020/
Starburst Data,Trino (formerly PrestoSQL),,C,$100.0,January,2021,a16z,https://blog.starburstdata.com/starburst-announces-42-million-series-b
Yugabyte ,YugabyteDB,,C,$30.0,June,2020,8VC,https://blog.yugabyte.com/yugabyte-raises-30-million-series-b/
Astronomer,Apache Airflow,,C,$213.0,March,2022,Insight Ventures,https://techcrunch.com/2022/03/23/astronomer-ready-for-its-next-mission-after-datakin-acquisition-213m-series-c/?tpcc=tcplustwitter
Chronosphere,M3,,C,$200.0,October,2021,General Atlantic,https://chronosphere.io/learn/200m-in-funding-and-unicorn-status/?utm_source=website&utm_medium=global+banner&utm_id=Launch
Opentrons,Opentrons,,C,$200.0,September,2021,SoftBank,https://blog.opentrons.com/press-release-opentrons_200_million_series_c_round_softbank/
Yugabyte,YugabyteDB,,C,$188.0,October,2021,Sapphire Ventures,https://blog.yugabyte.com/yugabyte-raises-188-million-series-c-to-make-distributed-sql-ubiquitous/
Solo,Gloo,,C,$135.0,October,2021,Altimeter,https://www.globenewswire.com/news-release/2021/10/07/2310288/0/en/Solo-io-Advances-Application-Networking-Market-with-135-Million-Series-C-Funding.html
Timescale,TimescaleDB,,C,$110.0,February,2022,Tiger Global,https://www.timescale.com/blog/year-of-the-tiger-110-million-to-build-the-future-of-data-for-developers-worldwide/?utm_source=timescaledb&utm_medium=social&utm_campaign=2022-funding
Docker,containerd,,C,$105.0,April,2022,Bain Capital Ventures,https://www.docker.com/blog/docker-raises-series-c-build-share-run/?utm_campaign=2022-03-31-sjseriescblog&utm_medium=social&utm_source=twitter
Anyscale,,,C,$100.0,December,2021,"Addition (Lee Fixel), a16z",https://www.anyscale.com/blog/the-future-is-distributed
Hasura,,,C,$100.0,February,2022,Greenoaks,https://hasura.io/blog/seriesc-100m-graphql-for-everyone/
OctoML,,,C,$85.0,November,2021,Tiger Global,https://octoml.ai/blog/octoml-raises-usd85m-series-c/
Carto,,,C,$61.0,December,2021,Insight Partners,https://carto.com/blog/carto-closes-series-c-round/
Esper,,,C,$60.0,October,2021,Insight Partners,https://blog.esper.io/espers-series-c-round-doubling-down-on-devops-for-devices
Data.world,,,C,$50.0,April,2022,Goldman Sachs,https://data.world/blog/data-world-announces-50m-series-c-funding-led-by-goldman-sachs-asset-management/
PlanetScale,,,C,$50.0,November,2021,Kleiner Perkins,https://www.kleinerperkins.com/perspectives/PlanetScale-Series-C/
Alluxio,,,C,$50.0,November,2021,NA,https://www.alluxio.io/press-releases/alluxio-announces-50-million-in-new-funding/
Gradle,,,C,$27.0,December,2021,Triangle Peak Partners,https://gradle.com/press-media/gradle-inc-raises-27-million-in-series-c-funding-round/
SignalWire,FreeSWITCH,,B+,NA,March,2022,TMobile,https://signalwire.com/blogs/press/signalwire-receives-new-investment-from-t-mobile-ventures
Alluxio,Alluxio,,B,$15.5,April,2020,Volcanis,https://www.alluxio.io/press-releases/alluxio-expands-funding-to-23m-to-increase-investment-in-hybrid-cloud-data-orchestration/
Esper,Android,,B,$30.0,May,2021,Scale VP,https://blog.esper.io/esper-announces-series-b-funding
Privacera,Apache Ranger,,B,$50.0,March,2021,Insight Partners ,https://privacera.com/announcing-our-series-b-funding-of-50m/
Preset,Apache Superset,,B,$35.9,August,2021,Redpoint Ventures,https://venturebeat.com/2021/08/18/data-visualization-and-analytics-platform-preset-takes-in-35-9m/
OctoML,Apache TVM,,B,$28.0,March,2021,Addition,https://medium.com/octoml/what-the-28-million-series-b-means-for-octoml-and-for-accelerating-ml-deployment-8972b55fe71a
Camunda ,Camunda ,,B,$100.0,March,2021,Insight Partners ,https://camunda.com/press_release/camunda-closes-100-million-series-b-funding-round/
ClickHouse,ClickHouse,,B,$250.0,October,2021,"Coatue, Altimeter",https://clickhouse.com/blog/en/2021/clickhouse-raises-250m-series-b/
Coder,Coder,,B,$30.0,April,2020,GGV,https://www.forbes.com/sites/davidjeans/2020/04/15/-cloud-software-startup-air-force-just-raised-funding-from-cia/?sh=47d0170f4319
Crate.io,CrateDB,,B,$10.0,June,2021,"Draper Esprit, Vito Ventures",https://crate.io/press/crate-io-secures-10-million-in-funding/
Cypress.io,Cypress,,B,$40.0,December,2020,OpenView,https://www.prnewswire.com/news-releases/cypressio-raises-40m-in-series-b-to-deliver-the-next-era-of-software-testing-301194275.html?utm_content=149265140&utm_medium=social&utm_source=twitter&hss_channel=tw-2774638535
Cyral,Cyral OSS,,B,$26.0,May,2021,"Redpoint, A Capital, Costanoa",https://cyral.com/blog/new-cyral-funding-a-ceo-message/
Fishtown Analytics,dbt,,B,$29.5,November ,2020,Sequoia Capital,https://blog.getdbt.com/fishtown-analytics-announces-29-5m-fundraise/
Docker,Docker,,B,$23.0,March,2021,Thrive,https://www.docker.com/press-release/Docker-Series-B
ChaosSearch,"ELK (Elasticsearch, Logstash, Kibana)",,B,$40.0,December,2020,"Stripes, Moore Strategic Ventures",https://www.chaossearch.io/news-and-media/chaossearch-40-million-series-b-funding#utm_source=twitter&utm_medium=organic
Coralogix,"ELK (Elasticsearch, Logstash, Kibana)",,B,$25.0,September,2020,"Red Dot Capital Partners, OG Tech VC",https://yourstory.com/2020/10/funding-alert-log-analytics-platform-coralogix-series-b-round
Ambassador Labs,Envoy,,B,$18.0,November ,2020,Insight Partners,https://www.globenewswire.com/news-release/2020/10/20/2110986/0/en/Ambassador-Labs-Secures-18M-in-Growth-Funding-to-Accelerate-Ambassador-and-Telepresence-Development.html
Tecton,Feast,,B,$35.0,December,2020,"a16z, Sequoia",https://www.tecton.ai/blog/feature-store-in-general-availability-series-b-funding/
Gatsby,Gatsby.js,,B,$28.0,May,2020,Index,https://www.gatsbyjs.org/blog/2020-05-27-announcing-series-b-funding/
Solo,Gloo Edge,,B,$23.0,October,2020,"Redpoint Ventures, True Ventures",https://www.solo.io/our-news/solo-io-bolsters-company-product-and-cloud-native-community-innovation-with-new-funding-round/
Grafana Labs,Grafana,,B,$50.0,August,2020,Lightspeed,https://grafana.com/about/press/2020-08-17-series-b-announcement/
Superconductive,Great Expectations,,B,$40.0,February,2022,Tiger Global,https://techcrunch.com/2022/02/10/superconductive-creators-of-great-expectations-raises-40m-to-launch-a-commercial-version-of-its-open-source-data-quality-tool/?tpcc=tcplustwitter
Gretel,Gretel,,B,$50.0,October,2021,Anthos Capital,https://gretel.ai/blog/why-privacy-by-design-matters-more-than-ever
Hasura,Hasura,,B,$25.0,September,2020,Lightspeed,https://hasura.io/blog/announcing-our-series-b-25m-financing/
Aiven,"Hosted Kafka, Cassandra, Elasticsearch, PostgreSQL, MySQL, Redis, InfluxDB and Grafana",,B,$40.0,February,2020,IVP,https://aiven.io/press/aiven-raises-40-million-series-b
Tetrate,Istio,,B,$40.0,March,2021,Sapphire Ventures,https://www.businesswire.com/news/home/20210310005295/en/Tetrate-Started-by-Istio-Founders-Raises-40-Million-to-Help-Enterprises-With-Cloud-Native-Application-Networking-Platform
Replicated,Kubernetes,,B,$25.0,October,2020,Two Sigma Ventures,https://www.replicated.com/blog/25m-series-b-to-modernize-on-prem-software/
Chronosphere,M3,,B,$43.4,January,2021,"Greylock, Lux Capital, Lee Fixel",https://techcrunch.com/2021/01/05/chronosphere-nabs-43m-series-b-to-expand-cloud-native-monitoring-tool/
Materialize,Materialize / Timely Dataflow,,B,$40.0,November ,2020,KPCB,https://materialize.com/materialize-series-b/
Element,Matrix,,B,$30.0,August,2021,"Protocol Labs, Metaplanet",https://element.io/blog/element-raises-30m-as-matrix-explodes/
Metabase,Metabase,,B,$30.0,August,2021,Insight Partners,https://techcrunch.com/2021/08/19/insight-partners-leads-30m-round-into-metabase-developing-enterprise-business-intelligence-tools/?tpcc=ECTW2020
Zilliz,Milvus,,B,$43.0,November ,2020,Hillhouse Capital,https://www.globenewswire.com/fr/news-release/2020/11/17/2127910/0/en/Zilliz-Raises-43M-to-Build-AI-powered-Unstructured-Data-Processing-and-Analysis-Platforms.html
Vercel fka ZEIT,"next.js, hyper, vercel",,B,$40.0,December,2020,GV,https://vercel.com/blog/series-b-40m-to-build-the-next-web
Styra,OPA,,B,$40.0,May,2021,Battery,https://blog.styra.com/blog/styra-raises-series-b-to-drive-cloud-native-authz
Pica8,Openflow,,B,$20.0,April,2021,WI Harper / Aspiro,https://www.lightreading.com/the-edge/pica8-raises-$20m-more-to-battle-cisco/d/d-id/768569
Opentrons,Opentrons,,B,$12.0,November ,2020,SOSV,https://www.sec.gov/Archives/edgar/data/1701598/000170159820000001/xslFormDX01/primary_doc.xml
Uptycs,osquery,,B,$30.0,June,2020,Sapphire Ventures,https://www.uptycs.com/blog/uptycs-series-b-funding
PostHog,PostHog,,B,$15.0,June,2021,YC,https://posthog.com/blog/15-million-series-b
Prefect,Prefect,,B,$32.0,June,2021,Tiger Global,https://www.prefect.io/blog/escape-velocity
Starburst Data,PrestoDB,,B,$42.0,June,2020,Coatue,https://blog.starburstdata.com/starburst-announces-42-million-series-b
Pulumi,Pulumi,,B,$37.5,October,2020,NEA,https://www.pulumi.com/blog/series-b/
ActiveState,Python/Perl/Tcl,,B,NA,January,2021,Turn/River,https://www.activestate.com/company/press/press-releases/activestate-raises-strategic-investment-from-turn-river/
Rasa,Rasa,,B,$26.0,June,2020,a16z,https://blog.rasa.com/our-next-phase-of-product-and-community-growth/
Anyscale,Ray,,B,$40.0,October,2020,NEA,https://www.businesswire.com/news/home/20201021005541/en/Anyscale-Announces-40M-in-Series-B-Funding-Led-by-NEA
Ventana Micro Systems,RISC-V,,B,$38.0,September,2021,"Dr. Sehat Sutardja, Weili Dai",https://www.businesswire.com/news/home/20210901005249/en/Ventana-Micro-Systems-Inc.-the-RISC-V-Performance-Leader-Raises-38-Million-in-Series-B-Funding
Rockset,RocksDB,,B,$40.0,October,2020,"Sequoia, Graylock",https://rockset.com/blog/rockset-raises-40m-series-b-real-time-analytics/
Robocorp,RPA Framework,,B,$21.0,June,2021,Canvas,https://robocorp.com/blog/robocorp-closes-21-million-series-a/
Salto,Salto,,B,$42.0,May,2021,Accel,https://venturebeat.com/2021/05/19/salto-spices-up-its-saas-app-tracking-for-enterprises-with-42m-raise/
Sanity,Sanity,,B,$39.0,June,2021,ICONIQ,https://www.sanity.io/blog/it-takes-a-village
BrowserStack,Selenium,,B,$200.0,June,2021,BOND,https://www.browserstack.com/press/browserstack-closes-200-million-in-series-b-funding-at-a-4-billion-valuation
r2c,Semgrep,,B,$27.0,July,2021,Felicis,https://r2c.dev/blog/2021/r2c-series-b-funding/
SnorkelAI,Snorkel,,B,$35.0,April,2021,Lightspeed,https://snorkel.ai/introducing-application-studio/#heading_3
Sourcegraph,Sourcegraph,,B,$23.0,March,2020,Craft,https://about.sourcegraph.com/press-releases/sourcegraph-secures-series-b
Streamlit,streamlit,,B,$35.0,April,2021,Sequoia Capital,https://blog.streamlit.io/our-35-million-series-b/
Teleport,Teleport,,B,$30.0,August,2021,Kleiner Perkins,https://goteleport.com/blog/series-b/?&utm_medium=social&utm_source=twitter
Timescale,TimescaleDB,,B,$40.0,May,2021,Redpoint Ventures,https://blog.timescale.com/blog/40-million-to-help-developers-measure-everything-that-matters/
Hugging Face,Transformers,,B,$40.0,March,2021,Addition,https://twitter.com/huggingface/status/1370031155261607936
PlanetScale,Vitess,,B,$30.0,June,2021,Insight Partners,https://www.bloomberg.com/press-releases/2021-06-23/planetscale-announces-30m-series-b-funding-to-accelerate-adoption-of-instantly-provisioned-and-infinitely-scalable-database
Wire,Wire,,B,$21.0,April,2021,UVC,https://capital.us20.list-manage.com/track/click?u=d40c29f25081bce43ff16e6fa&id=f3c3721aab&e=3a0943fffb
Yugabyte,YugabyteDB,,B,$48.0,March,2021,Lightspeed,https://blog.yugabyte.com/yugabyte-secures-48m-in-funding/
Airbyte,Airbyte,,B,$150.0,December,2021,"Coatue, Altimeter Capital",https://www.forbes.com/sites/kenrickcai/2021/12/17/data-startup-airbyte-is-set-to-become-a-unicorn-intensifying-showdown-with-rival-company-fivetran/?sh=4eb161d1f385
Optimism,Ethereum,,B,$150.0,March,2022,"Paradigm, a16z",https://scribe.rip/money-long-team-strong-8526c6943fd7?source=user_profile---------0-------------------------------
Panther,Panther Analysis,,B,$120.0,December,2021,Coatue,https://runpanther.io/press-releases/panther-labs-raises-120m-series-b-with-unicorn-valuation-led-by-coatue/
Island,Chromium,,B,$115.0,March,2022,Insight Partners,https://www.businesswire.com/news/home/20220323005242/en/Island-Raises-115-Million-in-Series-B-Funding-to-Enable-Massive-Innovation-on-Enterprise-Browser
Temporal,,,B,$103.0,February,2022,Index Ventures,https://docs.temporal.io/blog/series-b-announcement-open-letter/
MinIO,,,B,$103.0,January,2022,Intel Capital,https://blog.min.io/ab_seriesb/?utm_content=195608757&utm_medium=social&utm_source=twitter&hss_channel=tw-3017977255
Replit,,,B,$80.0,December,2021,Coatue,https://blog.replit.com/b
Buf,,,B,$68.0,December,2021,"Lux Capital, Tiger Global",https://buf.build/blog/an-update-on-our-fundraising
Upbound,,,B,$60.0,December,2021,Altimeter Capital,https://blog.upbound.io/upbound-raises-60m-in-funding-to-advance-its-universal-cloud-platform/
Rudderstack,,,B,$56.0,February,2022,Insight Partners,https://www.finsmes.com/2022/02/rudderstack-raises-56m-in-series-b-funding.html?utm_source=dlvr.it&utm_medium=twitter
Cocos,,,B,$50.0,April,2022,CCB Trust,https://www.cocos.com/en/more-than-a-game-engine-cocos-completes-50-million-in-series-b-financing
Redpanda Data,,,B,$50.0,February,2022,GV,https://redpanda.com/blog/redpanda-series-b-funding-future-of-streaming-data/
GitGuardian,,,B,$44.0,December,2021,"Eurazeo, Sapphire",https://blog.gitguardian.com/announcing-our-44m-fundraise-to-further-enable-the-appsec-shared-responsibility-model/
Daily,,,B,$40.0,November,2021,Renegade Partners,https://www.daily.co/blog/announcing-our-40m-series-b/
SpectroCloud,,,B,$40.0,March,2022,Stripes,https://www.spectrocloud.com/news/spectro-cloud-closes-40m-series-b-round/
Observable,,,B,$35.6,January,2022,Menlo Ventures,https://www.businesswire.com/news/home/20220113005245/en/Observable-Announces-35.6-Million-Series-B-Funding
TONIC,,,B,$35.0,October,2021,Insight Partners,https://www.tonic.ai/blog/we-raised-a-35m-series-b-heres-whats-next-for-fake-data
FingerprintJS,,,B,$32.0,November,2021,Craft Ventures,https://venturebeat.com/2021/11/03/fraud-prevention-platform-fingerprintjs-lands-32m-to-launch-premium-services/
ArangoDB,,,B,$27.8,October,2021,Iris Capital,https://www.arangodb.com/2021/10/announcing-arangodb-series-b-funding/
Bit,,,B,$25.0,November,2021,Insight Partners,https://venturebeat.com/2021/11/16/bit-bags-36m-to-bring-microservices-to-frontend-development/amp/
Spacelift,,,B,$15.0,October,2021,Insight Partners,https://spacelift.io/blog/spacelift-raises-15m
Airbyte,Airbyte,,A,$26.0,May,2021,Benchmark,https://airbyte.io/blog/airbyte-raised-a-26m-series-a-to-change-how-data-is-moved
Anchore,Anchore Engine,,A,$20.0,January,2020,Signal Fire,https://anchore.com/blog/anchore-2020-and-beyond/
Voltron Data,Apache Arrow,,A,$88.0,February,2022,Walden Catalyst,https://voltrondata.com/news/fundinglaunch/
StarTree,Apache Pinot,,A,$24.0,May,2021,"Bain, GGV",https://www.startree.ai/startree-press-release.html
StreamNative,Apache Pulsar,,A,$23.0,September,2021,Prosperity7 Ventures,https://www.prnewswire.com/news-releases/original-creators-of-apache-pulsar-raise-23m-series-a-for-streamnative-round-led-by-prosperity7-ventures-301375962.html
OctoML,Apache TVM,,A,$15.0,April,2020,Amplify,https://medium.com/octoml/announcing-octomls-series-a-growing-our-team-and-octomizing-the-world-s-ml-ai-needs-889522e4cb07
Apromore,Apromore,,A,$4.5,July,2020,GBTEC,https://www.prnewswire.com/in/news-releases/open-source-process-mining-vendor-apromore-raises-au-6-84-million-in-series-a-funding-848722817.html
Bodo.ai,Bodo Community Edition,,A,$14.0,August,2021,Dell Technologies Capital,https://www.businesswire.com/news/home/20210825005146/en/Bodo.ai-Raises-14-million-Series-A-to-Revolutionize-Simplicity-Performance-and-Scale-for-Data-Analytics-and-Machine-Learning
Botpress,Botpress,,A,$15.0,April,2021,Decibel,https://botpress.com/blog/announcing-15m-series-a
Eclypsium,CHIPSEC,,A,$13.0,October,2020,AV8 Ventures,https://eclypsium.com/2020/10/01/eclypsium-announces-13m-funding-round/?utm_content=141391721&utm_medium=social&utm_source=twitter&hss_channel=tw-865342977442430978
Cilium,Cilium,,A,$29.0,November ,2020,a16z,https://cilium.io/blog/2020/11/10/ebpf-future-of-networking/
Stacklet,Cloud Custodian,,A,$18.0,January,2021,Addition,https://stacklet.io/blog/stacklet-secures-18-million-in-series-a-funding
CodeSandbox,CodeSanbox,,A,$12.7,October,2020,EQT Ventures,https://medium.com/eqtventures/on-eqt-ventures-investment-in-codesandbox-tackling-the-final-frontier-in-collaboration-6ed721868576
Cube Dev,Cube.js,,A,$15.5,July,2021,Decibel,https://cube.dev/blog/our-series-a/
Observable,D3.js,,A,$10.5,November ,2020,Sequoia Capital,https://www.businesswire.com/news/home/20201120005499/en/Observable-the-Destination-for-Data-Visualization-Launches-With-10.5M-Series-A-Funding-Led-by-Sequoia-and-Acrew
Elementl,Dagster,,A,$15.0,November,2021,Index Ventures,https://dagster.io/blog/decade-of-data
Coiled,Dask,,A,$21.0,May,2021,BVP,https://venturebeat.com/2021/05/18/data-and-ai-operations-startup-coiled-nabs-21m/
Databand,databand-ai,,A,$14.5,December,2020,Accel,https://databand.ai/blog/announcing-our-series-a-with-14-5m-in-funding-databand-data-product/
Fishtown Analytics,dbt,,A,$13.0,April,2020,a16z,https://blog.getdbt.com/fishtown-analytics-announces-12-9m-fundraise/
Discourse,Discourse,,A,$20.0,August,2021,Pace Capital,https://blog.discourse.org/2021/08/discourse-series-a
ZEDEDA,EVE,,A,$12.5,March,2021,Rockwell Automation,https://venturebeat.com/2021/03/31/edge-computing-orchestration-startup-zededa-raises-12-5m/
FingerprintJS,FingerprintJS,,A,$8.0,Februrary,2021,Nexus Venture Partners,https://fingerprintjs.com/blog/series-a/
Gitcoin,Gitcoin,,A,$11.3,April,2021,Paradigm,https://capital.us20.list-manage.com/track/click?u=d40c29f25081bce43ff16e6fa&id=3931e20ef6&e=3a0943fffb
Gitpod,Gitpod,,A,$13.0,April,2021,General Catalyst,https://www.gitpod.io/blog/next-chapter-for-gitpod
Gravitee,Gravitee Gateway,,A,$11.0,July,2021,"AlbionVC, Oxx",https://venturebeat.com/2021/07/21/open-source-api-management-platform-gravitee-raises-11m/
Superconductive,Great Expectations,,A,$21.0,May,2021,Index,https://greatexpectations.io/blog/series-a-announcement/
Gretel,Gretel,,A,$12.0,November ,2020,Greylock,https://gretel.ai/blog/gretel-ai-raises-12-million-in-series-a-to-safely-share-build-with-data
Checkly,Headless recorder,,A,$10.0,June,2021,CRV,https://blog.checklyhq.com/checkly-raises-10m-for-developer-owned-operations/
Hummingbot,https://github.com/CoinAlpha/hummingbot,,A,$8.0,June,2021,Initialized,https://hummingbot.io/blog/hummingbot-series-a-initalized-capital
Julia Computing ,Julia,,A,$24.0,July,2021,Dorilton,https://juliacomputing.com/media/2021/07/series-a/
Komodor,K8s,,A,$21.0,June,2021,Accel,https://komodor.com/blog/raising-25-million-to-redefine-kubernetes-troubleshooting/
Meroxa,Kafka,,A,$15.0,April,2021,Drive,https://capital.us20.list-manage.com/track/click?u=d40c29f25081bce43ff16e6fa&id=3d1db4c569&e=3a0943fffb
Katana,Katana/Galois,,A,$28.5,February,2021,Intel Capital,https://katanagraph.com/news/series-a-round
Arrikto,KubeFlow,,A,$10.0,November ,2020,Unusual Ventures,https://www.arrikto.com/blog/hello-world-we-are-arrikto/
Spectro Cloud,Kubernetes,,A,$20.0,August,2021,Stripes,https://www.spectrocloud.com/news/spectro-cloud-announces-20m-completion-of-series-a-funding/
Okteto,Kubernetes,,A,$15.0,February,2022,Two Sigma Ventures,https://www.okteto.com/blog/a-15m-series-a-to-disrupt-modern-development?utm_content=198968499&utm_medium=social&utm_source=twitter&hss_channel=tw-1006491699441557504
Treeverse,LakeFS,,A,$23.0,August,2021,Dell Technologies Capital,https://venturebeat.com/2021/07/28/treeverse-raises-23m-to-bring-git-like-version-control-to-data-lakes/
Lottie Files,Lottie File Format,,A,$9.0,March,2021,M12,https://techcrunch.com/2021/01/27/lottiefiles-a-platform-for-the-animation-format-lands-9-million-series-a-led-by-m12-microsofts-venture-fund/
New Vector,Matrix,,A,$4.6,May,2020,Automattic,https://blog.vector.im/automattic-backs-matrix-investing-4-6m-in-new-vector/
Moov,Moov,,A,$27.0,December,2020,a16zj,https://moov.io/blog/news/moov-announces-series-a-round/
n8n,n8n,,A,$12.0,April,2021,Felicis,https://n8n.io/blog/series-a-announcement/
VEsoft,Nebula Graph,,A,$10.0,December,2020,Source Code Capital,https://www.prweb.com/releases/nebula_graph_database_secures_10_million_vc_funding_in_new_round/prweb17604322.htm
Vercel fka ZEIT,"next.js, hyper, vercel",,A,$21.0,April,2020,"Accel, CRV",https://vercel.com/blog/zeit-is-now-vercel
NearForm,Node.js,,A,NA,February,2021,Columbia Capital,https://www.irishtimes.com/business/technology/irish-covid-app-developer-nearform-secures-major-investment-1.4485503
Open Raven,Open Raven,,A,$15.0,June,2020,KPCB,https://techcrunch.com/2020/06/16/los-angeles-based-open-raven-raises-15-million-from-kpcb-for-its-security-tech-to-secure-hybrid-clouds/
MayaData,OpenEBS,,A,$26.0,February ,2020,"DataCore, Insight Partners ",https://blocksandfiles.com/2020/02/04/mayadata-gets-funding-datacore-technology-and-resell-boost-for-its-kubernetes-storage/
Opstrace,Opstrace,,A,$6.5,May,2020,KPCB,https://sec.report/Document/0001811514-20-000001/
Orbit,Orbit,,A,$15.0,May,2021,Coatue,https://orbit.love/blog/enabling-proactive-community-teams-everywhere
Oso,Oso,,A,$8.2,March,2021,Sequoia Capital,https://techcrunch.com/2021/03/17/oso-announces-8-2m-series-a-to-simplify-authorization-for-developers/amp/
Stackhawk,OWASP ZAP,,A,$10.0,October,2020,Sapphire Ventures,https://www.stackhawk.com/blog/series-a-financing-announcement/
Panther,Panther,,A,$15.0,September,2020,Lightspeed,https://blog.runpanther.io/series-a-funding/
Molecula,Pilosa,,A,$18.0,January,2021,Drive Capital,https://www.molecula.com/news-and-press/molecula-secures-17-6-million-in-series-a-funding-to-democratize-machine-scale-analytics-and-ai/
Pixie Labs,Pixie,,A,$9.2,October,2020,Benchmark,https://techcrunch.com/2020/10/01/pixie-labs-raises-9-15m-series-a-round-for-its-kubernetes-observability-platform/
Portainer,Portainer,,A,$6.0,May,2021,Bessemer,https://www.portainer.io/blog/container-management-solution-portainer.io-raises-6m-series-a-round-to-accelerate-global-expansion
Supabase,Postgres,,A,$30.0,September,2021,Coatue,https://techcrunch.com/2021/09/09/supabase-raises-30m-for-its-open-source-insta-backend/?tpcc=ECTW2020
PostHog,PostHog,,A,$9.0,December,2020,GV,https://venturebeat.com/2020/12/17/gv-leads-9-million-investment-in-open-source-product-analytics-platform-posthog/
Prefect,Prefect,,A,$11.5,February,2021,Positive Sum,https://finance.yahoo.com/news/prefect-raises-11-5m-series-130900704.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cucHJlZmVjdC5pby8&guce_referrer_sig=AQAAAEEGEMcpGPQod_UYnMClScFHJc2o5urgcASTurrQqSPCvVmfYKQA3GAyU38M-LbWwMK_hve1K5auzAKecY311JeU-AdcNvTYWz2z_pcSNd3XC1rkaJPqsjEt8GZqNyJyNCmB792QXXIPa4LeTqSZ5Fo2RJBxiBXvsLC_mJpMilOM
Ahana,PrestoDB,,A,$20.0,August,2021,Third Point Ventures,https://ahana.io/press-releases/presto-company-ahana-raises-20m-series-a-led-by-third-point-ventures-to-redefine-open-data-lake-analytics/
InfuseAI,Primehub,,A,$4.3,April,2021,Wistron,https://techcrunch.com/2021/04/05/taiwan-based-mlops-startup-infuseai-raises-4-3m-series-a-led-by-wistron-corporation/?tpcc=ECTW2020
Prisma,Prisma,,A,$12.0,June,2020,Amplify,https://twitter.com/prisma/status/1276489237471297538?s=21
ProcessMaker,ProcessMaker,,A,$45.0,February,2021,Aldrich Capital,https://www.newsobserver.com/news/business/article249222775.html
Buf Technologies,Protocol Buffers,,A,$20.7,April,2021,Undisclosed,https://www.sec.gov/Archives/edgar/data/1825366/000182536621000001/xslFormDX01/primary_doc.xml
