date,Open,High,Low,Close,Volume
2021-06-23,31711.94,32507.74,31711.94,32507.74,46317108925
2021-06-27,33702.62,34675.45,31943.14,32023.97,35511640894
2021-06-30,34607.29,35968.99,34556.84,35968.99,34059036099
2021-07-03,35171.49,35171.49,33677.57,33950.79,24383958643
2021-07-07,34729.89,35394.21,33928.13,34149.99,24796027477
2021-07-11,33932.25,33971.3,32933.58,33704.54,20108729370
2021-07-15,34299.94,34299.94,32676.38,32878.5,21300524237
2021-07-19,31726.04,31919.39,31399.65,31919.39,20434789545
2021-07-23,30928.21,32409.5,29971.9,32409.5,22552046192
2021-07-27,33455.55,37281.92,33455.55,37281.92,35097370560
2021-07-31,39076.59,41936.26,39076.59,41936.26,25802845343
2021-08-03,41754.17,41754.17,39278.77,39278.77,26189830450
2021-08-07,38368.35,42802.14,38368.35,42802.14,40030862141
2021-08-11,44647.58,46311.0,43753.22,45639.51,34319709073
2021-08-15,45652.06,47717.27,44495.21,47088.85,30988958446
2021-08-19,47025.0,47025.0,44534.45,45015.47,37204312299
2021-08-23,46745.03,49250.54,46745.03,49250.54,34305053719
2021-08-27,49518.58,49518.58,47229.07,47229.07,34511076995
2021-08-31,49083.1,49083.1,47124.25,47124.25,34730363427
2021-09-03,47335.42,49338.78,47335.42,49338.78,43206179619
2021-09-07,49934.53,52739.8,49934.53,52739.8,65210059683
2021-09-11,46995.16,46995.16,44802.61,44802.61,34499835245
2021-09-15,45196.49,47135.43,45139.83,47135.43,30484496466
2021-09-19,48186.53,48266.63,47228.66,48266.63,26967722648
2021-09-23,47371.04,47371.04,40386.62,43587.22,34244064430
2021-09-27,44980.9,44980.9,42752.17,43336.86,30980029059
2021-09-30,42247.36,42247.36,41010.38,41587.67,31141681925
2021-10-03,43859.33,48181.88,43859.33,47777.76,26638115879
2021-10-07,48282.97,55415.01,48282.97,55415.01,36807860413
2021-10-11,53894.6,55125.46,53894.6,54711.87,42637331698
2021-10-15,57572.51,57572.51,56335.04,57452.43,51780081801
2021-10-19,61809.02,62017.97,61165.64,62017.97,40471196346
