Date,Ticker,Type,Price,Quantity,Fees,Premium,Side,Currency
2019-01-10,LVO,ETF,4.7905,10,-2.02,0,BUY,USD
2019-05-20,LVO,ETF,3.903,-10,-2.01,0,SELL,USD
2019-01-21,LU1681047319,ETF,48.46,6,0.0,0,BUY,USD
2019-04-23,LU1681047319,ETF,54.42,-6,0.0,0,SELL,USD
2019-01-21,IS0E,ETF,7.529,14,-2.04,0,BUY,USD
2019-05-20,IS0E,ETF,7.95,-14,-2.04,0,SELL,USD
